Municipality,area,Price,sqft,Year,Elevator,Condition,Energial.,number_of_room,hassauna,floor,total_floor
Ruskeasuo,37.0,260000,7027,1948,0,1,E2007,2,0,2,3
Länsi-pasila,45.0,225000,5000,1987,1,2,E2007,2,0,4,5
Vallila,45.0,283000,6289,1923,0,1,D2013,2,1,4,4
Roihuvuori,49.5,185000,3737,1957,0,2,G2013,2,0,1,4
Tapaninvainio,50.7,173000,3412,1971,0,2,E2007,2,0,2,3
Vuosaari,51.0,169000,3314,1965,0,1,F2007,2,0,1,3
Lassila,57.5,237850,4137,1982,0,1,G2013,2,0,2,3
Punavuori,36.0,292500,8125,1962,1,1,F2013,2,1,2,5
Konala,44.0,163000,3705,1963,1,1,G2013,2,0,4,5
Malminkartano,45.5,185700,4081,2003,1,1,F2007,2,1,2,4
Konepaja,49.0,358700,7320,2016,1,1,E2007,2,1,3,7
Myllypuro,52.0,177000,3404,1966,1,2,E,2,0,7,7
Etelä-haaga,35.0,187000,5343,1963,0,1,F2013,2,0,2,4
Ullanlinna,36.0,353000,9806,1963,1,2,F2015,2,0,7,8
Etelä-haaga,39.0,242000,6205,1961,0,1,E2018,2,1,2,3
Itä-pasila,47.5,189000,3979,1977,1,2,F2013,2,0,2,8
Lauttasaari,53.0,365000,6887,2014,1,1,B2007,2,0,1,6
Myllypuro,54.5,173000,3174,1964,0,1,E2018,2,1,1,3
Etelä-haaga,37.0,222000,6000,1963,1,1,E2007,2,0,2,3
Konala,43.5,175000,4023,1962,0,1,F2013,2,0,4,4
Kallio,46.0,250000,5435,1938,1,2,F2013,2,0,2,6
Vuosaari,49.5,186000,3758,1994,1,1,F,2,0,4,5
Pukinmäki,54.0,141000,2611,1972,0,1,E2013,2,0,1,3
Aurinkolahti,58.0,315000,5431,2013,1,1,A2007,2,1,4,5
Kamppi,58.0,475000,8190,1929,1,1,,2,0,2,5
Siltamäki,61.5,270000,4390,1929,0,1,C2018,2,0,3,3
Etu-töölö,83.0,715000,8614,1929,1,1,F,2,0,8,8
Katajanokka,40.5,426300,10526,1940,1,1,C2018,2,0,3,8
Viikinmäki,44.5,272000,6112,2020,1,1,C2013,2,0,3,3
Kruununhaka,45.0,386700,8593,1908,1,1,F2013,2,0,3,3
Munkkivuori,54.0,228000,4222,1958,1,2,F2013,2,0,2,4
Ruskeasuo,54.0,302500,5602,1951,0,2,E2007,2,0,4,4
Tammisalo,46.0,190000,4130,1961,0,1,E2007,2,0,2,2
